School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2015-2016,1228906,Special Ed AM Run,5028,K598,Heavy Traffic,20192,11/12/15 7:30,11/12/15 7:31,Brooklyn,"RELIANT TRANS, INC. (B232",,5,Yes,Yes,Yes,11/12/15 7:31,,11/12/15 7:31,Running Late,School-Age
2015-2016,1228907,Special Ed AM Run,2611,K279,Other,20192,11/12/15 7:22,11/12/15 7:32,Brooklyn,EMPIRE STATE BUS CORP.,20-30 min,4,Yes,Yes,No,11/12/15 7:32,,11/12/15 7:32,Running Late,School-Age
2015-2016,1228911,Special Ed AM Run,5046,K694,Heavy Traffic,14084,11/12/15 7:31,11/12/15 7:33,Brooklyn,"RELIANT TRANS, INC. (B232",,6,Yes,Yes,Yes,11/12/15 7:33,,11/12/15 7:33,Running Late,School-Age
2015-2016,1228912,General Ed AM Run,1246,Q2573,Mechanical Problem,25120,11/12/15 7:22,11/12/15 7:33,Queens,LORISSA BUS SERVICE INC.,,0,Yes,No,No,11/12/15 7:33,,11/12/15 7:33,Breakdown,School-Age
2015-2016,1228915,Special Ed AM Run,830D,Q541,Mechanical Problem,25658,11/12/15 7:31,11/12/15 7:33,Queens,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,No,11/12/15 7:33,,11/12/15 7:33,Breakdown,School-Age
2015-2016,1228916,Special Ed AM Run,1451,J695,Other,75437,11/12/15 7:15,11/12/15 7:35,New Jersey,THOMAS BUSES INC (B2192),20 mins,1,No,No,No,11/12/15 7:35,,11/12/15 7:35,Running Late,School-Age
2015-2016,1228917,General Ed AM Run,2407,K1503,Other,15516,11/12/15 7:23,11/12/15 7:36,Brooklyn,ALL AMERICAN SCHOOL BUS C,20MINS,0,Yes,No,No,11/12/15 7:36,,11/12/15 7:38,Running Late,School-Age
2015-2016,1228918,Special Ed AM Run,1713,M043,Heavy Traffic,02350,11/12/15 7:34,11/12/15 7:36,Manhattan,PHILLIP BUS CORP (B2192),45min,2,Yes,No,No,11/12/15 7:36,,11/12/15 7:36,Running Late,School-Age
2015-2016,1228919,Special Ed AM Run,35,Q374,Heavy Traffic,26177,11/12/15 7:35,11/12/15 7:36,Queens,LORINDA ENT. LTD.,30mins,0,Yes,Yes,No,11/12/15 7:36,,11/12/15 7:36,Running Late,School-Age
2015-2016,1228920,Special Ed AM Run,494D,Q506,Other,26179,11/12/15 7:31,11/12/15 7:36,Queens,LITTLE RICHIE BUS SERVICE,20,0,Yes,Yes,No,11/12/15 7:36,,11/12/15 7:36,Running Late,School-Age
2015-2016,1228921,General Ed AM Run,2185,X2059,Heavy Traffic,10716,11/12/15 7:21,11/12/15 7:37,Bronx,"GRANDPA`S BUS CO., INC.",20mins,0,Yes,Yes,No,11/12/15 7:37,,11/12/15 7:38,Running Late,School-Age
2015-2016,1228922,Special Ed AM Run,135D,Q976,Heavy Traffic,24081,11/12/15 7:36,11/12/15 7:37,Queens,LORINDA ENT. LTD.,30MINS,0,Yes,Yes,No,11/12/15 7:37,,11/12/15 7:37,Running Late,School-Age
2015-2016,1228923,Special Ed AM Run,423D,P506,Heavy Traffic,24293,11/12/15 7:35,11/12/15 7:38,,LOGAN BUS COMPANY INC.,20,6,Yes,Yes,No,11/12/15 7:38,,11/12/15 7:38,Running Late,School-Age
2015-2016,1228924,Special Ed AM Run,8928D,P594,Won`t Start,28511,11/12/15 7:38,11/12/15 7:39,Queens,LOGAN BUS COMPANY INC.,,2,Yes,Yes,No,11/12/15 7:39,,11/12/15 7:39,Breakdown,School-Age
2015-2016,1228925,Special Ed AM Run,31324,X400,Accident,10444,11/12/15 7:20,11/12/15 7:41,Bronx,"BORO TRANSIT, INC.",45-50 MIN,3,Yes,Yes,Yes,11/12/15 7:41,2787061,11/12/15 7:41,Running Late,School-Age
2015-2016,1228926,Special Ed AM Run,69,W661,Heavy Traffic,75419,11/12/15 7:42,11/12/15 7:43,Westchester,MAR-CAN TRANSPORT CO. INC,20 MINS,4,No,Yes,No,11/12/15 7:43,,11/12/15 7:43,Running Late,School-Age
2015-2016,1228927,Special Ed AM Run,598,P874,Heavy Traffic,24008,11/12/15 7:42,11/12/15 7:43,Queens,HAPPY CHILD TRANS LLC (B2,30 MIN,3,Yes,Yes,No,11/12/15 7:43,,11/12/15 7:43,Running Late,School-Age
2015-2016,1228928,General Ed AM Run,843,R1043,Heavy Traffic,31073,11/12/15 7:42,11/12/15 7:44,Staten Island,PIONEER TRANSPORTATION CO,10 mins,0,Yes,No,No,11/12/15 7:44,,11/12/15 7:44,Running Late,School-Age
2015-2016,1227884,Pre-K/EI,9815,3,Heavy Traffic,C329,11/6/15 8:34,11/6/15 8:38,Bronx,"G.V.C., LTD.",12MIN,14,Yes,Yes,Yes,11/6/15 8:38,,11/6/15 8:38,Running Late,Pre-K
2015-2016,1228929,Special Ed AM Run,HA 528,L990,Heavy Traffic,14031,11/12/15 7:42,11/12/15 7:44,Brooklyn,HAPPY CHILD TRANS LLC (B2,30 Mins.,2,Yes,Yes,No,11/12/15 7:44,,11/12/15 7:44,Running Late,School-Age
2015-2016,1228930,Special Ed AM Run,200,W660,Heavy Traffic,75419,11/12/15 7:46,11/12/15 7:44,Westchester,MAR-CAN TRANSPORT CO. INC,20 mins,3,No,Yes,No,11/12/15 7:44,,11/12/15 7:44,Running Late,School-Age
2015-2016,1228936,Special Ed AM Run,137,W750,Heavy Traffic,75908,11/12/15 7:44,11/12/15 7:46,Westchester,MAR-CAN TRANSPORT CO. INC,15 mins,5,No,Yes,No,11/12/15 7:46,,11/12/15 7:46,Running Late,School-Age
2015-2016,1228937,Pre-K/EI,9320,1A,Heavy Traffic,C073,11/12/15 7:45,11/12/15 7:46,Bronx,"G.V.C., LTD.",20 MINS,3,Yes,Yes,No,11/12/15 7:46,,11/12/15 7:46,Running Late,Pre-K
2015-2016,1228938,Special Ed AM Run,1438,M627,Heavy Traffic,03005,11/12/15 7:46,11/12/15 7:46,Manhattan,LEESEL TRANSP CORP (B2192,10,3,Yes,Yes,No,11/12/15 7:46,,11/12/15 7:46,Running Late,School-Age
2015-2016,1228945,Special Ed AM Run,1721,M098,Heavy Traffic,04112,11/12/15 7:46,11/12/15 7:47,Manhattan,PHILLIP BUS CORP (B2192),20min,3,Yes,No,No,11/12/15 7:47,,11/12/15 7:47,Running Late,School-Age
2015-2016,1228946,General Ed AM Run,133,X2256,Heavy Traffic,07458,11/12/15 7:36,11/12/15 7:47,Bronx,PIONEER TRANSPORTATION CO,5 minutes,0,Yes,No,No,11/12/15 7:47,,11/12/15 7:47,Running Late,School-Age
2015-2016,1228947,Special Ed AM Run,45,W600,Heavy Traffic,75327,11/12/15 7:50,11/12/15 7:48,Westchester,MAR-CAN TRANSPORT CO. INC,15/20MINS,5,No,No,No,11/12/15 7:48,,11/12/15 7:48,Running Late,School-Age
2015-2016,1228948,Special Ed AM Run,5602,Q164,Heavy Traffic,30533,11/12/15 7:46,11/12/15 7:48,Queens,"RELIANT TRANS, INC. (B232",,10,Yes,Yes,Yes,11/12/15 7:48,,11/12/15 7:48,Running Late,School-Age
2015-2016,1228949,Pre-K/EI,7001,B1112A,Heavy Traffic,C598,11/12/15 7:33,11/12/15 7:48,Brooklyn,L & M BUS CORP.,30 min,5,Yes,Yes,Yes,11/12/15 7:48,,11/12/15 7:48,Running Late,Pre-K
2015-2016,1228950,Special Ed AM Run,1835,L017,Heavy Traffic,"2,068,521,911",11/12/15 7:46,11/12/15 7:48,Manhattan,B & F SKILLED INC.(B2192),20 mins,3,Yes,Yes,No,11/12/15 7:48,,11/12/15 8:36,Running Late,School-Age
2015-2016,1228951,Special Ed AM Run,2067,M878,Heavy Traffic,01539,11/12/15 7:48,11/12/15 7:48,Manhattan,LEESEL TRANSP CORP (B2192,,3,Yes,Yes,No,11/12/15 7:48,,11/12/15 7:48,Breakdown,School-Age
2015-2016,1228952,Special Ed AM Run,2418,M998,Heavy Traffic,03408,11/12/15 7:47,11/12/15 7:49,Manhattan,"RELIANT TRANS, INC. (B232",20 MIN,3,Yes,No,Yes,11/12/15 7:49,,11/12/15 7:49,Running Late,School-Age
2015-2016,1228955,Special Ed AM Run,19248,M137,Other,03480,11/12/15 7:35,11/12/15 7:50,Manhattan,"BORO TRANSIT, INC.",25-35,4,Yes,No,Yes,11/12/15 7:50,,11/12/15 7:50,Running Late,School-Age
2015-2016,1228956,Special Ed AM Run,NI-4478,K035,Heavy Traffic,21907,11/12/15 7:40,11/12/15 7:50,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",30 mins,19,Yes,Yes,No,11/12/15 7:50,,11/12/15 7:57,Running Late,School-Age
2015-2016,1228957,Special Ed AM Run,5607,Q158,Heavy Traffic,26817,11/12/15 7:49,11/12/15 7:50,Queens,"RELIANT TRANS, INC. (B232",15 MIN,13,No,No,No,11/12/15 7:50,,11/12/15 7:50,Running Late,School-Age
